language name	iso 639-2t	iso 639-2b	iso 639-1	iri	ISO 639-2T
Kabyle	kab	kab		http://purl.obolibrary.org/obo/OMRSE_00000687	KAB
Divehi	div	div	dv	http://purl.obolibrary.org/obo/OMRSE_00000597	DIV
Norwegian	nor	nor	no	http://purl.obolibrary.org/obo/OMRSE_00000781	NOR
Icelandic	isl	ice	is	http://purl.obolibrary.org/obo/OMRSE_00000670	ISL
Central Khmer	khm	khm	km	http://purl.obolibrary.org/obo/OMRSE_00000698	KHM
Votic	vot	vot		http://purl.obolibrary.org/obo/OMRSE_00000903	VOT
Romany	rom	rom		http://purl.obolibrary.org/obo/OMRSE_00000816	ROM
Hindi	hin	hin	hi	http://purl.obolibrary.org/obo/OMRSE_00000660	HIN
Upper Sorbian	hsb	hsb		http://purl.obolibrary.org/obo/OMRSE_00000665	HSB
Dogrib	dgr	dgr		http://purl.obolibrary.org/obo/OMRSE_00000595	DGR
Chichewa	nya	nya	ny	http://purl.obolibrary.org/obo/OMRSE_00000785	NYA
Nepali	nep	nep	ne	http://purl.obolibrary.org/obo/OMRSE_00000773	NEP
Mandar	mdr	mdr		http://purl.obolibrary.org/obo/OMRSE_00000750	MDR
Amharic	amh	amh	am	http://purl.obolibrary.org/obo/OMRSE_00000521	AMH
Nyoro	nyo	nyo		http://purl.obolibrary.org/obo/OMRSE_00000788	NYO
Luxembourgish	ltz	ltz	lb	http://purl.obolibrary.org/obo/OMRSE_00000729	LTZ
Cherokee	chr	chr		http://purl.obolibrary.org/obo/OMRSE_00000577	CHR
Marathi	mar	mar	mr	http://purl.obolibrary.org/obo/OMRSE_00000746	MAR
Syriac	syr	syr		http://purl.obolibrary.org/obo/OMRSE_00000862	SYR
Breton	bre	bre	br	http://purl.obolibrary.org/obo/OMRSE_00000556	BRE
Mari	chm	chm		http://purl.obolibrary.org/obo/OMRSE_00000573	CHM
Oriya	ori	ori	or	http://purl.obolibrary.org/obo/OMRSE_00000792	ORI
Blin	byn	byn		http://purl.obolibrary.org/obo/OMRSE_00000561	BYN
Nogai	nog	nog		http://purl.obolibrary.org/obo/OMRSE_00000779	NOG
Galibi Carib	car	car		http://purl.obolibrary.org/obo/OMRSE_00000563	CAR
Wolof	wol	wol	wo	http://purl.obolibrary.org/obo/OMRSE_00000908	WOL
Tigrinya	tir	tir	ti	http://purl.obolibrary.org/obo/OMRSE_00000874	TIR
Rundi	run	run	rn	http://purl.obolibrary.org/obo/OMRSE_00000818	RUN
Malay	msa	may	ms	http://purl.obolibrary.org/obo/OMRSE_00000748	MSA
Acoli	ach	ach		http://purl.obolibrary.org/obo/OMRSE_00000510	ACH
Karachay-Balkar	krc	krc		http://purl.obolibrary.org/obo/OMRSE_00000710	KRC
Assamese	asm	asm	as	http://purl.obolibrary.org/obo/OMRSE_00000531	ASM
Kuanyama	kua	kua	kj	http://purl.obolibrary.org/obo/OMRSE_00000713	KUA
Faroese	fao	fao	fo	http://purl.obolibrary.org/obo/OMRSE_00000617	FAO
Lahnda	lah	lah		http://purl.obolibrary.org/obo/OMRSE_00000718	LAH
Panjabi	pan	pan	pa	http://purl.obolibrary.org/obo/OMRSE_00000800	PAN
Minangkabau	min	min		http://purl.obolibrary.org/obo/OMRSE_00000754	MIN
Northern Frisian	frr	frr		http://purl.obolibrary.org/obo/OMRSE_00000627	FRR
Friulian	fur	fur		http://purl.obolibrary.org/obo/OMRSE_00000631	FUR
Albanian	sqi	alb	sq	http://purl.obolibrary.org/obo/OMRSE_00000518	SQI
Angika	anp	anp		http://purl.obolibrary.org/obo/OMRSE_00000523	ANP
Azerbaijani	aze	aze	az	http://purl.obolibrary.org/obo/OMRSE_00000537	AZE
Lithuanian	lit	lit	lt	http://purl.obolibrary.org/obo/OMRSE_00000726	LIT
Japanese	jpn	jpn	ja	http://purl.obolibrary.org/obo/OMRSE_00000683	JPN
