language name	iso 639-2t	iso 639-2b	iso 639-1	iri	ISO 639-2T
Lingala	lin	lin	ln	http://purl.obolibrary.org/obo/OMRSE_00000725	LIN
Sidamo	sid	sid		http://purl.obolibrary.org/obo/OMRSE_00000833	SID
Yao	yao	yao		http://purl.obolibrary.org/obo/OMRSE_00000911	YAO
Western Frisian	fry	fry	fy	http://purl.obolibrary.org/obo/OMRSE_00000629	FRY
Hiligaynon	hil	hil		http://purl.obolibrary.org/obo/OMRSE_00000659	HIL
Ndebele, North	nde	nde	nd	http://purl.obolibrary.org/obo/OMRSE_00000770	NDE
Armenian	hye	arm	hy	http://purl.obolibrary.org/obo/OMRSE_00000527	HYE
Santali	sat	sat		http://purl.obolibrary.org/obo/OMRSE_00000827	SAT
Nyamwezi	nym	nym		http://purl.obolibrary.org/obo/OMRSE_00000786	NYM
Palauan	pau	pau		http://purl.obolibrary.org/obo/OMRSE_00000802	PAU
Buginese	bug	bug		http://purl.obolibrary.org/obo/OMRSE_00000558	BUG
Kimbundu	kmb	kmb		http://purl.obolibrary.org/obo/OMRSE_00000703	KMB
Serbian	srp	srp	sr	http://purl.obolibrary.org/obo/OMRSE_00000852	SRP
Pangasinan	pag	pag		http://purl.obolibrary.org/obo/OMRSE_00000797	PAG
Norwegian Nynorsk	nno	nno	nn	http://purl.obolibrary.org/obo/OMRSE_00000777	NNO
Slovak	slk	slo	sk	http://purl.obolibrary.org/obo/OMRSE_00000835	SLK
English	eng	eng	en	http://purl.obolibrary.org/obo/OMRSE_00000610	ENG
Delaware	del	del		http://purl.obolibrary.org/obo/OMRSE_00000592	DEL
Shona	sna	sna	sn	http://purl.obolibrary.org/obo/OMRSE_00000843	SNA
Tiv	tiv	tiv		http://purl.obolibrary.org/obo/OMRSE_00000875	TIV
Gondi	gon	gon		http://purl.obolibrary.org/obo/OMRSE_00000644	GON
Kalmyk	xal	xal		http://purl.obolibrary.org/obo/OMRSE_00000909	XAL
Sasak	sas	sas		http://purl.obolibrary.org/obo/OMRSE_00000826	SAS
Kannada	kan	kan	kn	http://purl.obolibrary.org/obo/OMRSE_00000691	KAN
Swahili	swa	swa	sw	http://purl.obolibrary.org/obo/OMRSE_00000859	SWA
Nauru	nau	nau	na	http://purl.obolibrary.org/obo/OMRSE_00000767	NAU
Aleut	ale	ale		http://purl.obolibrary.org/obo/OMRSE_00000519	ALE
Chuvash	chv	chv	cv	http://purl.obolibrary.org/obo/OMRSE_00000579	CHV
Lamba	lam	lam		http://purl.obolibrary.org/obo/OMRSE_00000719	LAM
Luo (Kenya and Tanzania)	luo	luo		http://purl.obolibrary.org/obo/OMRSE_00000735	LUO
Spanish	spa	spa	es	http://purl.obolibrary.org/obo/OMRSE_00000849	SPA
Bini	bin	bin		http://purl.obolibrary.org/obo/OMRSE_00000550	BIN
Adangme	ada	ada		http://purl.obolibrary.org/obo/OMRSE_00000511	ADA
Tatar	tat	tat	tt	http://purl.obolibrary.org/obo/OMRSE_00000865	TAT
Quechua	que	que	qu	http://purl.obolibrary.org/obo/OMRSE_00000811	QUE
Khasi	kha	kha		http://purl.obolibrary.org/obo/OMRSE_00000697	KHA
Oromo	orm	orm	om	http://purl.obolibrary.org/obo/OMRSE_00000793	ORM
Korean	kor	kor	ko	http://purl.obolibrary.org/obo/OMRSE_00000707	KOR
Kabardian	kbd	kbd		http://purl.obolibrary.org/obo/OMRSE_00000696	KBD
Sotho, Southern	sot	sot	st	http://purl.obolibrary.org/obo/OMRSE_00000848	SOT
Kongo	kon	kon	kg	http://purl.obolibrary.org/obo/OMRSE_00000706	KON
Manipuri	mni	mni		http://purl.obolibrary.org/obo/OMRSE_00000758	MNI
German	deu	ger	de	http://purl.obolibrary.org/obo/OMRSE_00000594	DEU
Arapaho	arp	arp		http://purl.obolibrary.org/obo/OMRSE_00000529	ARP
Skolt Sami	sms	sms		http://purl.obolibrary.org/obo/OMRSE_00000842	SMS
Kachin	kac	kac		http://purl.obolibrary.org/obo/OMRSE_00000688	KAC
Dakota	dak	dak		http://purl.obolibrary.org/obo/OMRSE_00000589	DAK
Finnish	fin	fin	fi	http://purl.obolibrary.org/obo/OMRSE_00000622	FIN
Galician	glg	glg	gl	http://purl.obolibrary.org/obo/OMRSE_00000640	GLG
Pushto	pus	pus	ps	http://purl.obolibrary.org/obo/OMRSE_00000810	PUS
